"","row","column","Julian","Paolo","Feifan","color"
"1","3","3",3,3.5,3,0.433390680650214
"2","4","1",3,3,2.5,0.411783748562078
"3","3","2",3.5,3.5,3,0.447319386043789
"4","1","3",2.5,2.5,3.5,0.422907464647845
"5","2","4",2.5,2,2.5,0.429684669513176
"6","3","6",2.5,3.5,3.5,0.432576812321934
"7","4","4",3,3,4,0.45039961123225
"8","2","5",3,2,2.5,0.427609126672481
"9","1","5",2,4,3.5,0.416489293589033
"10","4","2",2.5,3,2.5,0.453784255251982
"11","5","4",1.5,2,3.5,0.44112169868729
"12","4","6",3,4,2.5,0.44909572003928
"13","2","3",2,3,2.5,0.424136314416953
"14","5","3",2.5,2,3,0.426136984003477
"15","2","2",3,4,3,0.419402015910362
"16","5","2",3,4,2.5,0.446906489963301
"17","2","1",2,4,3,0.411797483418956
"18","5","6",2.5,2.5,3,0.428415549143508
"19","5","1",2.5,3.5,4,0.426735806005527
"20","3","5",3,3,2.5,0.421639980572859
"21","1","4",3,3.5,3.5,0.408241566762605
"22","1","1",2.5,2,3,0.437307886704031
"23","4","5",3,2.5,3.5,0.415846297408897
"24","4","3",3.5,3.5,4,0.426767027513602
"25","5","5",3,2.5,3,0.413724304115279
"26","3","1",2.5,2,3,0.416742533445827
"27","3","4",3,3,4,0.446690887941762
"28","1","2",2,2.5,3,0.414486175630478
"29","2","6",2.5,3.5,3.5,0.42199225071278
"30","1","6",1.5,2.5,4,0.426616725740788
