"row","column","hole_treatment","liquid_treatment","treatment"
5,1,"NH","DC","NH + DC"
5,2,"H","M","H + M"
5,3,"H","NL","H + NL"
5,4,"H","DC","H + DC"
5,5,"NH","M","NH + M"
5,6,"NH","NL","NH + NL"
4,1,"NH","M","NH + M"
4,2,"H","DC","H + DC"
4,3,"H","NL","H + NL"
4,4,"H","M","H + M"
4,5,"NH","NL","NH + NL"
4,6,"NH","DC","NH + DC"
3,1,"NH","DC","NH + DC"
3,2,"NH","M","NH + M"
3,3,"H","M","H + M"
3,4,"H","DC","H + DC"
3,5,"NH","NL","NH + NL"
3,6,"H","NL","H + NL"
2,1,"NH","NL","NH + NL"
2,2,"H","M","H + M"
2,3,"NH","M","NH + M"
2,4,"NH","DC","NH + DC"
2,5,"H","NL","H + NL"
2,6,"H","DC","H + DC"
1,1,"H","NL","H + NL"
1,2,"NH","NL","NH + NL"
1,3,"H","M","H + M"
1,4,"NH","DC","NH + DC"
1,5,"H","DC","H + DC"
1,6,"NH","M","NH + M"
